country,pop,weight_pubs,weight_pop,bsm_response,bsm_weight_pubs,bsm_weight_pop,pubs_fit,bsm_weight_pop_2,bsm_over_pop
Afghanistan,26464558.65,8.57E-04,0.004328807,32.11131095,4.42E-04,0.002162674,115.407851,13221705.31,0.499600446
Albania,2251436.813,1.39E-04,3.68E-04,1.527445981,7.04E-05,1.88E-04,18.7548805,1151719.676,0.511548745
Algeria,30480654.68,0.003827646,0.004985719,106.1653544,0.001774798,0.00235089,515.2499396,14372385,0.471524813
Andorra,220946.7813,5.90E-05,3.61E-05,0.54869831,3.23E-05,1.98E-05,7.935573757,121233.1255,0.54869831
Angola,14848893.17,0.001227481,0.002428833,81.85553984,8.69E-04,0.001733983,165.2346412,10600865.19,0.713916187
Anguilla,73024.18323,0,1.19E-05,1.481868648,0,6.32E-06,0,38628.52862,0.528982686
Antigua,77006.34375,0,1.26E-05,0.658476255,0,8.29E-06,0,50706.84884,0.658476255
Argentina,37051531.42,0.008380871,0.006060517,186.5480307,0.004887124,0.003442966,1128.172087,21048892.9,0.568097784
Armenia,2415504.25,1.73E-04,3.95E-04,1.104200373,9.18E-05,2.12E-04,23.2321514,1296670.247,0.536811412
Aruba,38229.26953,1.59E-05,6.25E-06,0.682764793,1.08E-05,4.27E-06,2.134060262,26101.5993,0.682764793
Australia,19275380.39,0.018705851,0.003152873,495.0619372,0.01167667,0.00185079,2518.046179,11314973.26,0.58701686
Austria,10432533.75,0.006193438,0.001706449,5.580781761,0.002739671,7.65E-04,833.715765,4678233.758,0.448427378
Azerbaijan,7838708.303,4.00E-04,0.001282177,7.41527215,2.12E-04,6.76E-04,53.89420858,4134971.992,0.527506807
Bahamas,313850.3031,9.26E-06,5.13E-05,14.65484488,6.02E-06,3.13E-05,1.246031693,191509.4749,0.610193691
Bahrain,1191682.75,3.59E-04,1.95E-04,0.440177363,1.58E-04,8.58E-05,48.35291044,524551.7706,0.440177363
Bangladesh,137267973.9,0.002473311,0.022452916,7.370215073,9.44E-04,0.009536211,332.9391842,58300505.76,0.424720378
Barbados,251656,0,4.12E-05,0.653834897,0,2.69E-05,0,164541.4749,0.653834897
Belarus,9989645.555,9.80E-04,0.001634006,13.63253909,4.19E-04,7.21E-04,131.8655574,4409556.704,0.441412729
Belgium,9317197.969,0.004596284,0.001524014,1.461810497,0.001596757,5.26E-04,618.7184918,3215195.521,0.345081808
Belice,160854.8438,1.99E-05,2.63E-05,2.004832783,1.47E-05,1.93E-05,2.68242444,117718.2533,0.731829086
Benin,6876709.938,5.51E-04,0.001124823,6.260525352,3.25E-04,6.79E-04,74.12848718,4151605.755,0.603719772
Bhutan,1154455.016,2.73E-05,1.89E-04,1.955652089,1.75E-05,1.12E-04,3.668957093,686708.9594,0.594833883
Bolivia,8269042.311,0.001136713,0.001352567,67.90741216,8.05E-04,9.08E-04,153.0160412,5548234.873,0.670964625
Bosnia,3195649.594,1.57E-04,5.23E-04,2.776870541,8.72E-05,2.90E-04,21.17340202,1771427.667,0.554324752
Botswana,2287491.463,5.66E-04,3.74E-04,34.39417744,3.72E-04,2.47E-04,76.19816962,1510809.824,0.660465776
Brasil,174544614.9,0.025440966,0.028550254,530.0404964,0.016326296,0.018302501,3424.678507,111894031.2,0.641062638
British Virgin Islands,74077.57031,0,1.21E-05,0.603566268,0,7.31E-06,0,44710.72269,0.603566268
Brunei,507177.1329,6.09E-05,8.30E-05,1.218277944,4.43E-05,4.42E-05,8.195549328,269937.0771,0.532234321
Bulgaria,8994531.108,0.001547037,0.001471235,7.590815931,8.08E-04,7.58E-04,208.2509474,4635500.298,0.515368755
Burkina Faso,11021715.67,2.22E-04,0.001802821,11.94495818,1.23E-04,9.60E-04,29.84222361,5869297.343,0.532521208
Burma,58978812,9.67E-04,0.009647161,48.18470905,6.06E-04,0.00585793,130.1765825,35812996.3,0.607218001
Burundi,6567189.5,1.30E-04,0.001074195,2.072218783,8.87E-05,7.35E-04,17.44830896,4492259.21,0.684045924
Cambodia,11802407.28,2.57E-04,0.001930519,13.77014019,1.77E-04,0.001267726,34.5656758,7750358.042,0.656676037
Cameroon,16008415.83,0.001762964,0.002618496,28.37492994,0.001187892,0.001770563,237.3174848,10824497.67,0.676175444
Canada,23730798.57,0.028237921,0.003881646,778.6026934,0.011042365,0.001752975,3801.184303,10716976.72,0.45160624
Cape Verde,438970.9997,0,7.18E-05,5.019491047,0,3.79E-05,0,231666.1346,0.527748154
Cayman Islands,40410.00183,0,6.61E-06,1.550655165,0,3.81E-06,0,23316.21045,0.576991076
Cen African Rep,4077478.346,4.32E-04,6.67E-04,38.28726474,3.25E-04,5.09E-04,58.19871156,3112251.346,0.763278449
Chad,8556115.309,8.91E-04,0.001399523,58.28170604,4.99E-04,8.90E-04,119.9903055,5438739.94,0.635655288
Chile,15472046.17,0.002610343,0.002530762,68.70737866,0.001474666,0.001441714,351.3855107,8814048.971,0.569675716
China,1209067230,0.063317323,0.197767067,466.6392508,0.024356033,0.080725976,8523.319332,493525711.8,0.408187154
Chinese Taipei,30685752.94,5.90E-04,0.005019267,6.580670878,3.31E-04,0.002556662,79.42511126,15630389.37,0.509369589
Colombia,39981497.02,0.002723327,0.006539771,72.43700299,0.001828216,0.004317164,366.5945795,26393381.56,0.660139903
Commonwealth of Dominica,102687.6016,0,1.68E-05,0.707836588,0,1.19E-05,0,72686.04156,0.707836588
Comoros,551997.0117,0,9.03E-05,2.017269787,0,6.28E-05,0,383690.3419,0.695094962
Congo,2716022.501,2.76E-04,4.44E-04,23.5176225,2.03E-04,3.28E-04,37.10890091,2004582.668,0.738058196
Congo (Dem. Rep.),51781977.01,0.002322752,0.008469975,134.9950189,0.001653672,0.005997422,312.6721002,36665795.82,0.708080262
Cook Islands,83266.3885,0,1.36E-05,3.342378187,0,6.53E-06,0,39947.31815,0.479753222
Costa Rica,3835061.25,2.15E-04,6.27E-04,5.018585256,1.51E-04,4.38E-04,28.97104247,2680801.783,0.699024503
COTE D IVOIRE,17264190.82,0.001003091,0.002823903,20.10645548,6.73E-04,0.001918998,135.0288929,11731970.5,0.679555191
Croatia,5259235.769,8.48E-04,8.60E-04,7.00909459,4.29E-04,4.47E-04,114.1757902,2733271.4,0.519708855
Cuba,11077755.39,8.70E-04,0.001811988,19.24696699,5.23E-04,0.00108658,117.1096718,6642906.699,0.599661797
Cyprus,786607.0191,3.82E-04,1.29E-04,2.980971486,1.80E-04,6.10E-05,51.39226211,372682.157,0.473784428
Czech R,10756617.38,0.003417528,0.001759459,3.842753675,0.001493989,7.59E-04,460.0428333,4638306.888,0.431204971
Dem. Peo. Rep. Korea,25609472.2,4.44E-04,0.00418894,8.037873504,1.87E-04,0.001684108,59.7502131,10295951.33,0.402036842
Denmark,5297717.643,0.003440173,8.67E-04,6.45193271,0.001406365,3.65E-04,463.0911328,2228581.946,0.420668313
Djibouti,254473.1562,2.67E-05,4.16E-05,1.747679775,1.55E-05,2.50E-05,3.59652599,153113.3062,0.601687457
Dominican R,9587442.974,4.82E-04,0.001568218,5.59516149,2.92E-04,9.48E-04,64.94011122,5796227.47,0.604564479
East Timor,1770399.344,5.12E-05,2.90E-04,3.123658319,3.17E-05,1.81E-04,6.892868324,1106335.08,0.624907077
Ecuador,12424884.42,7.75E-04,0.002032338,16.5047173,4.97E-04,0.001312373,104.3082455,8023313.377,0.645745514
Egypt,70166450.3,0.003605036,0.011477123,46.87000328,0.001604128,0.005105344,485.283851,31211989.88,0.444827831
El Salvador,5177224.375,2.11E-04,8.47E-04,1.174167631,1.20E-04,4.86E-04,28.45024766,2969755.214,0.573619183
England,58973951.4,0.050869666,0.009646366,34.75063412,0.020921136,0.004044626,6847.70592,24727195.4,0.419290124
Eq Guinea,378100.8984,2.79E-05,6.18E-05,2.158323503,2.01E-05,4.44E-05,3.754344879,271296.4669,0.717523994
Eritrea,4474583.911,1.44E-04,7.32E-04,8.533710758,7.81E-05,4.11E-04,19.32347083,2513518.771,0.561732403
Estonia,1245763.007,3.08E-04,2.04E-04,5.648868889,1.37E-04,9.22E-05,41.42775183,563517.0371,0.452346902
Ethiopia,64747753.73,0.00122199,0.010590787,55.35982432,6.57E-04,0.005639571,164.4954134,34478039.54,0.532497848
Faeroe Islands,45569.99903,0,7.45E-06,1.142336091,0,2.91E-06,0,17769.58344,0.389940396
Falkland Is,2900.000045,0,4.74E-07,4.304510134,0,2.27E-07,0,1390.544784,0.479498194
FEDERAL REPUBLIC OF YUGOSLAVIA,10990717.09,3.06E-05,0.001797751,5.686943106,1.59E-05,8.40E-04,4.114130465,5132549.654,0.466989516
Federated State of Micronesia,269920.7674,0,4.42E-05,7.386807143,0,2.12E-05,0,129790.1333,0.480845303
Fiji,999499.3558,0,1.63E-04,13.18037735,0,8.44E-05,0,515832.2311,0.516090609
Finland,5188327.229,0.009629849,8.49E-04,30.90341797,0.003655237,3.46E-04,1296.300516,2112783.234,0.407218578
France,58823305.6,0.029716274,0.009621725,36.18247081,0.012654353,0.004111417,4000.189548,25135529.48,0.427305627
French Guiana,134049.5344,7.97E-05,2.19E-05,4.858149485,5.57E-05,1.60E-05,10.7241804,97889.81898,0.730251093
French Polynesia,425199.7072,0,6.95E-05,24.33636864,0,2.96E-05,0,180845.4493,0.425318847
FYR of Macedonia,1993449.969,2.79E-04,3.26E-04,1.551131487,1.44E-04,1.69E-04,37.56809093,1033591.218,0.518493684
Gabon,1270034.918,2.61E-04,2.08E-04,17.31804528,1.86E-04,1.46E-04,35.12050321,891247.3962,0.701750309
Gambia,2181033.844,3.84E-05,3.57E-04,1.945541536,2.48E-05,2.30E-04,5.169455657,1406714.573,0.644976041
Gaza Strip,3124660.75,6.04E-04,5.11E-04,0.43715971,2.64E-04,2.23E-04,81.30788612,1365975.788,0.43715971
Georgia,5202319.057,2.60E-04,8.51E-04,5.942349481,1.42E-04,4.61E-04,34.99401511,2815970.299,0.541291349
Germany,79996190.9,0.046790471,0.013084973,19.14431619,0.017676071,0.004997852,6298.594249,30554829.17,0.381953551
Ghana,20321249.84,0.002688375,0.003323946,16.13956481,0.001534516,0.002061161,361.8895128,12601096.47,0.620094559
Greece,10975291.95,0.00386885,0.001795228,22.30039421,0.001736333,8.34E-04,520.7966002,5099784.855,0.464660519
Greenland,56196.06179,2.80E-05,9.19E-06,138.8795384,9.22E-06,3.04E-06,3.764528326,18559.63655,0.330265787
Grenada,121393.4264,0,1.99E-05,1.1217989,0,1.30E-05,0,79201.30557,0.65243488
Guadeloupe,358343.375,0,5.86E-05,0.684251336,0,4.01E-05,0,245196.9331,0.684251336
Guam,269717.6875,0,4.41E-05,0.579811606,0,2.56E-05,0,156385.4454,0.579811606
Guatemala,12306881.64,4.51E-04,0.002013036,8.234510765,2.53E-04,0.001129236,60.68053438,6903691.301,0.560961867
Guernsey,163.724716,0,2.68E-08,0.487181299,0,1.30E-08,0,79.76361983,0.487181299
Guinea,8080423.179,2.26E-04,0.001321714,15.82858033,1.64E-04,9.51E-04,30.41772608,5814133.831,0.719533334
Guinea Bissau,1612729.685,4.31E-05,2.64E-04,3.48576764,3.07E-05,1.85E-04,5.799527687,1128987.27,0.700047429
Guyana,755046.9727,1.74E-04,1.24E-04,14.80298843,1.29E-04,9.29E-05,23.41217777,568175.6911,0.752503767
Haiti,7890259.527,1.67E-04,0.001290609,3.506197348,8.94E-05,6.93E-04,22.52691792,4235715.803,0.536828451
Honduras,5541867.902,1.77E-04,9.06E-04,8.732437741,1.15E-04,5.74E-04,23.8807621,3506951.092,0.6328103
Hungary,9849001.344,0.002211382,0.001611001,4.312942116,9.40E-04,6.93E-04,297.6801813,4237165.46,0.4302127
Iceland,281085.0061,4.34E-04,4.60E-05,13.73358528,1.47E-04,1.61E-05,58.40090471,98659.48826,0.350995201
India,1048069427,0.02750345,0.171432664,146.6777088,0.010636736,0.071792738,3702.315134,438911533.4,0.418780972
Indonesia,201516512.9,0.008684234,0.032962046,241.2334136,0.005080894,0.018928313,1169.008608,115719989.6,0.574245693
Iran,66970319.21,0.006287945,0.010954332,92.32446058,0.003311616,0.005963172,846.4375545,36456403.02,0.544366571
Iraq,25668531.53,0.001188591,0.0041986,22.61270184,5.80E-04,0.002061198,159.999492,12601323.54,0.490924988
Ireland,3715935.787,0.001509794,6.08E-04,10.52751746,7.09E-04,2.95E-04,203.237572,1805756.108,0.485949223
Isle of Man,97972.05469,4.28E-05,1.60E-05,0.580524457,2.48E-05,9.30E-06,5.756801982,56875.17382,0.580524457
Israel,5762143.625,0.002884358,9.43E-04,0.809860356,0.001150374,3.66E-04,388.271317,2236820.454,0.388192416
Italy,56572425.35,0.035790971,0.009253549,31.27822526,0.015226215,0.004057303,4817.921272,24804695.48,0.438459114
Jamaica,2567577.031,2.13E-04,4.20E-04,3.238901867,1.37E-04,2.68E-04,28.67567405,1640162.183,0.638797654
Japan,155291342.1,0.030862781,0.025400997,53.1804782,0.012516716,0.010515192,4154.523941,64285600.42,0.413967705
Jordan,3950750.956,7.43E-04,6.46E-04,3.91586094,3.20E-04,2.76E-04,100.0059205,1690390.403,0.427865594
Kazakhstan,14839714.31,0.003886814,0.002427331,179.3394702,0.002026204,0.001238199,523.2148076,7569844.681,0.510107171
Kenya,31703968.55,0.001149547,0.005185817,33.49531891,6.97E-04,0.003109662,154.7437467,19011206.27,0.599647525
Kiribati,66918.03312,0,1.09E-05,9.250403256,0,5.01E-06,0,30647.63789,0.457987727
Korea,47741022.76,0.006728968,0.007808997,8.705615807,0.002229051,0.002678749,905.8049745,16376776.5,0.343033634
Kuwait,1941564.375,0.001093928,3.18E-04,0.981875534,5.39E-04,1.56E-04,147.2566235,955109.5868,0.491927849
Kyrgyz Republic,8434403.975,6.23E-04,0.001379615,12.73319249,3.22E-04,7.01E-04,83.85923114,4282908.879,0.507790342
Lao PDR,10663054.67,2.16E-04,0.001744155,12.76892179,1.51E-04,0.001223273,29.06392962,7478591.827,0.70135548
Latvia,2591177.391,4.25E-04,4.24E-04,6.432123235,1.81E-04,1.85E-04,57.14452869,1129150.425,0.435767319
Lebanon,3943556,5.37E-04,6.45E-04,0.873687869,2.18E-04,2.68E-04,72.31904603,1637767.339,0.415302163
Lesotho,1332013.813,7.86E-05,2.18E-04,1.156934017,4.55E-05,1.27E-04,10.57554929,775265.4892,0.582025113
Liberia,3211936.596,1.12E-04,5.25E-04,8.272359564,7.85E-05,3.74E-04,15.06494221,2289490.458,0.712806866
Libya,5311779.958,0.002270996,8.69E-04,74.0194054,0.001132344,4.63E-04,305.7049663,2832759.005,0.533297506
Lithuania,3544105.813,4.62E-04,5.80E-04,3.866401733,1.89E-04,2.43E-04,62.19893645,1485067.689,0.419024648
Madagascar,15275361.93,6.83E-04,0.00249859,54.93729175,5.04E-04,0.001823128,91.9668799,11145860.5,0.729662613
Malawi,8768240.563,3.69E-04,0.001434221,4.536936464,2.38E-04,9.16E-04,49.72439835,5598914.741,0.638544837
Malaysia,30728937.63,0.001968078,0.005026331,31.06257589,0.001324075,0.003228536,264.928413,19737953.83,0.642324641
Maldive Islands,125031.0129,0,2.05E-05,6.879411685,0,9.39E-06,0,57415.16223,0.459207367
Mali,11156679.87,9.52E-04,0.001824898,61.0627931,5.39E-04,0.001170619,128.1778154,7156689.35,0.641471247
Malta,358600.75,0,5.87E-05,0.547071315,0,3.21E-05,0,196180.184,0.547071315
Marshall Islands,328060.2602,0,5.37E-05,13.2760164,0,2.16E-05,0,132320.1534,0.403341
Martinique,412769.6251,0,6.75E-05,1.391401995,0,4.69E-05,0,286947.519,0.695175957
Mauritania,2887985.89,7.57E-04,4.72E-04,45.61979261,3.72E-04,2.71E-04,101.8496838,1655630.668,0.573282118
Mauritius,1158537.508,0,1.90E-04,1.05984871,0,1.23E-04,0,753956.2938,0.650782809
Mayotte,148572,0,2.43E-05,1.097097112,0,1.65E-05,0,100679.5542,0.677648239
Mexico,99677990.68,0.009723281,0.016304324,142.7879898,0.005308038,0.00862469,1308.877683,52727840.68,0.528981777
Moldova,5030683.25,3.18E-04,8.23E-04,2.101526949,1.34E-04,3.46E-04,42.83794387,2113729.187,0.420167417
Mongolia,2789127.53,0.001642048,4.56E-04,99.88762959,8.95E-04,2.55E-04,221.0406437,1557007.888,0.558241913
Montenegro,851232.3438,0,1.39E-04,1.104559614,0,7.63E-05,0,466514.5789,0.548046115
Montserrat,4958,0,8.11E-07,0.498007535,0,4.04E-07,0,2469.121356,0.498007535
Moracco,27709708.53,0.002294813,0.004532476,23.07650615,0.001020061,0.002128235,308.9111646,13011159.73,0.469552385
Morocco (includes Western Sahara),399307.2224,3.39E-04,6.53E-05,14.36171382,1.52E-04,2.93E-05,45.57969185,179290.4886,0.449003871
Mozambique,21780692.49,9.99E-04,0.003562667,59.73240341,7.12E-04,0.00252235,134.4812736,15420622.59,0.707995055
Namibia,1719072.995,7.19E-04,2.81E-04,48.23906534,4.28E-04,1.77E-04,96.76954574,1080147.555,0.628331408
Nepal,38840343.81,4.02E-04,0.006353113,6.486778012,1.92E-04,0.003056944,54.16669714,18688908.85,0.481172591
Netherland Antilles,133604.3281,0,2.19E-05,0.615285754,0,1.34E-05,0,82204.83974,0.615285754
Netherlands,18007624.45,0.011462742,0.002945506,3.298645224,0.003742335,9.69E-04,1543.031344,5921854.745,0.328852635
New Caledonia,311600.5553,0,5.10E-05,8.525065557,0,3.14E-05,0,191987.6211,0.616133758
New Zealand,3728032.406,0.001187271,6.10E-04,39.94171563,7.53E-04,3.84E-04,159.8218736,2344872.549,0.62898395
Nicaragua,5265246.002,1.94E-04,8.61E-04,11.79375213,1.36E-04,5.87E-04,26.10348951,3591021.116,0.682023426
Niger,11303333.84,8.75E-04,0.001848886,51.056284,4.47E-04,9.92E-04,117.7397388,6063573.348,0.536441145
Nigeria,123084202.4,0.006967005,0.020132877,44.04314243,0.00377567,0.010882761,937.8477524,66532765.24,0.540546747
Niue,3527.400207,0,5.77E-07,1.011098995,0,2.85E-07,0,1744.606045,0.494586932
Northern Mariana Islands,289499.5322,0,4.74E-05,4.517703142,0,2.41E-05,0,147216.7239,0.508521457
Norway,4492855.405,0.002984897,7.35E-04,41.98466658,0.001238958,3.21E-04,401.8052176,1963349.296,0.436993653
Oman,2444688.853,5.31E-04,4.00E-04,19.54306527,2.76E-04,2.15E-04,71.50132555,1315053.597,0.537922687
Pakistan,113508682.5,0.004837716,0.01856661,40.27635261,0.001803802,0.007480839,651.2182722,45734799.29,0.402918951
Palau,1204029.109,0,1.97E-04,1.502872947,0,1.02E-04,0,623871.4029,0.51815309
Panama,3050038.053,3.13E-04,4.99E-04,12.09118919,2.30E-04,3.68E-04,42.08753693,2249265.905,0.73745503
Papau New Guinea,5638115.012,6.63E-04,9.22E-04,66.2870156,4.63E-04,6.32E-04,89.29565693,3863389.789,0.685227205
Paraguay,4788383.001,6.13E-04,7.83E-04,25.63862297,4.54E-04,5.63E-04,82.53539939,3443945.01,0.719229228
Peru,26022355.68,0.00199631,0.004256475,80.45694224,0.001213444,0.002472963,268.7288427,15118685.39,0.580988346
Philippine,85328748.93,0.002197119,0.013957219,56.1649729,0.001339319,0.008383906,295.760242,51255780.68,0.600685951
Poland,37433502.18,0.009920895,0.006122996,17.74069263,0.003912,0.002400674,1335.479042,14676740.81,0.392075012
Portugal,10439026.72,0.002650538,0.001707511,12.49377441,0.001244848,8.08E-04,356.7962681,4938738.506,0.473103349
Puerto Rico,3820548.197,1.51E-04,6.25E-04,3.60901683,9.38E-05,3.87E-04,20.36518309,2368383.268,0.619906659
Qatar,606980.2141,4.24E-04,9.93E-05,1.402461399,2.10E-04,4.94E-05,57.03365499,301740.2581,0.497117124
Republic of Tajikistan,6134857.163,3.26E-04,0.001003478,7.902499324,1.61E-04,5.13E-04,43.9139413,3137093.752,0.51135563
Reunion,723769,0,1.18E-04,1.28369598,0,7.59E-05,0,464107.6348,0.641237238
Romania,19982295.48,0.002662162,0.003268503,13.12093644,0.001269431,0.001581939,358.360896,9671327.827,0.483994836
Russia,147884965,0.041679011,0.024189536,1279.504631,0.016936437,0.011231033,5610.526447,68661957.97,0.464293026
Rwanda,10101490,2.53E-04,0.0016523,1.880109231,1.59E-04,0.001040121,34.02701723,6358877.409,0.629498956
Saint Kitts and Nevis,55471.41406,0,9.07E-06,0.632963955,0,5.74E-06,0,35111.40564,0.632963955
Saint Lucia,89799.33594,0,1.47E-05,0.66010507,0,9.70E-06,0,59276.99695,0.66010507
Saint Pierre and Miquelon,5585.311035,0,9.14E-07,0.372234103,0,3.40E-07,0,2079.043245,0.372234103
Saint Vincent,127325.6172,0,2.08E-05,0.689333238,0,1.44E-05,0,87769.77992,0.689333238
Sao Tome,140130.999,0,2.29E-05,1.263733683,0,1.57E-05,0,95686.99421,0.682839592
Saudi Arabia,20489691.6,0.005044903,0.003351498,89.88025611,0.002417921,0.001627784,679.108282,9951607.477,0.485688495
Senegal,8725393.213,3.34E-04,0.001427212,11.0950765,1.92E-04,8.01E-04,44.90255608,4895421.211,0.56105451
Seychelles,81129,0,1.33E-05,0.513719115,0,6.82E-06,0,41677.51807,0.513719115
Sierra Leone,3839521.447,8.53E-05,6.28E-04,5.643773244,6.27E-05,4.60E-04,11.47934231,2809202.751,0.731654397
Slovak Republic,5067040.75,0.001037321,8.29E-04,2.510638103,5.10E-04,4.12E-04,139.6366143,2520450.167,0.497420544
Slovenia,1823320.251,1.86E-04,2.98E-04,0.986960286,9.26E-05,1.48E-04,25.10087488,902274.3537,0.494852374
Solomon Is,634572.5994,0,1.04E-04,17.39763141,0,6.67E-05,0,407913.7597,0.642816535
Somalia,7879751.557,6.80E-04,0.001288891,42.23173485,4.30E-04,8.21E-04,91.50427774,5018933.903,0.636940628
South Africa,45293846.16,0.011187868,0.007408712,84.38890352,0.005783722,0.004389838,1506.029803,26837681.91,0.592523801
Spain,39710893.63,0.009783285,0.006495509,43.8441027,0.004493591,0.003123546,1316.95499,19096089.11,0.480877849
Sri Lanka,20476389.99,3.66E-04,0.003349322,7.884064679,2.35E-04,0.002138846,49.27838427,13076035.24,0.638590848
Sudan,34678954.35,0.002844467,0.005672435,130.3962534,0.001713853,0.003497493,382.9015267,21382245.63,0.616577
Surinam,516327.9051,1.23E-04,8.45E-05,10.84801627,8.72E-05,6.32E-05,16.4987714,386455.6799,0.748469482
Svalbard,0,0,0,23.24403621,0,0,0,0,NaN
Swaziland,698583.25,2.22E-05,1.14E-04,0.722045661,1.60E-05,8.25E-05,2.9850698,504409.0043,0.722045661
Sweden,8795558.756,0.005838148,0.001438689,38.81703001,0.002441971,6.11E-04,785.8891986,3737915.494,0.424977605
Switzerland,7952659.875,0.005994112,0.001300816,2.892852247,0.002866554,6.18E-04,806.8839503,3780293.146,0.475349532
Syria,15892186.4,0.001012758,0.002599484,10.15639364,4.93E-04,0.001254071,136.3302002,7666878.046,0.482430665
Tanzania,33684898.79,0.00197349,0.005509837,58.81586293,0.001299898,0.00377951,265.6569422,23106383.65,0.685956748
Thailand,53426878.49,0.002344398,0.008739032,34.68039106,0.001363528,0.005178052,315.5859027,31656500.97,0.59252013
Togo,5410539.656,6.75E-04,8.85E-04,3.127241801,3.99E-04,5.34E-04,90.89763042,3263049.185,0.603091261
Tonga,217208.7467,0,3.55E-05,4.374342623,0,1.70E-05,0,103729.7825,0.477558036
Trinidad,1301818.543,2.38E-04,2.13E-04,1.832088886,1.50E-04,1.35E-04,32.07747104,824321.0819,0.633207359
Tunesia,10093922.7,9.98E-04,0.001651062,13.59378197,5.32E-04,8.64E-04,134.3173588,5279694.632,0.523056773
Turkey,67443391.33,0.006066617,0.011031712,48.69728834,0.00285596,0.005221043,816.6439876,31919331.23,0.473275893
Turkmenistan,4472637.927,6.59E-04,7.32E-04,29.41132566,3.51E-04,4.02E-04,88.68570821,2456926.037,0.549323705
Turks and Caicos Islands,18905.23242,0,3.09E-06,1.135728872,0,1.81E-06,0,11054.739,0.58474494
U. ARAB EMIRATES,3237391.025,0.001780882,5.30E-04,4.986084703,8.72E-04,2.73E-04,239.729413,1671423.324,0.516287131
U.S.A,294965615.9,0.328401936,0.048247511,631.465308,0.137016599,0.021561951,44207.0894,131820980.6,0.446902871
Uganda,21883989.78,0.00225752,0.003579563,13.55627892,0.001340323,0.00220711,303.8909688,13493368.36,0.616586303
Ukraine,48077232.44,0.004001938,0.007863991,35.99897437,0.001680357,0.003348897,538.7118864,20473789.88,0.425852089
United States Virgin Islands,53217.24609,0,8.70E-06,0.588009028,0,5.12E-06,0,31292.22115,0.588009028
Uruguay,3426389.134,6.44E-04,5.60E-04,12.23863768,3.91E-04,3.35E-04,86.69942688,2048707.896,0.597920381
Uzbekistan,21785598.52,0.002091235,0.003563469,23.5405052,9.32E-04,0.001592311,281.506872,9734741.579,0.446842972
Vanuatu,198112.4543,0,3.24E-05,10.07605456,0,2.27E-05,0,138883.7448,0.701034901
Venezuela,24023973.18,0.003796517,0.0039296,63.5489714,0.002574736,0.002657153,511.0596478,16244753.16,0.676189281
Viet Nam,78656999.68,0.001381882,0.012865922,28.22034044,7.55E-04,0.007002607,186.0189152,42811084.38,0.544275583
Wallis and Futuna,636.84796,0,1.04E-07,1.427401767,0,5.09E-08,0,310.9226264,0.488221123
Yemen,18345330.06,6.41E-04,0.003000745,27.365144,3.41E-04,0.001558931,86.35354833,9530669.151,0.519514728
Zambia,9626902.305,0.000627642,0.001574672,48.31026389,4.76E-04,0.001185342,84.48857988,7246699.339,0.752755051
Zimbabwe,12228894.25,5.12E-04,0.00200028,23.19243544,3.61E-04,0.0013965,68.97168308,8537633.743,0.698152553